Time (s),Illuminance (lux),Timestamp,Condition
11.736,2.35,2026-01-12 02:02:03.036,Transition
11.838,2.35,2026-01-12 02:02:03.138,Transition
11.938,2.35,2026-01-12 02:02:03.238,Transition
12.037,2.35,2026-01-12 02:02:03.337,Transition
12.137,2.35,2026-01-12 02:02:03.437,Transition
12.236,2.35,2026-01-12 02:02:03.536,Transition
12.338,2.35,2026-01-12 02:02:03.638,Transition
12.437,2.35,2026-01-12 02:02:03.737,Transition
12.538,2.35,2026-01-12 02:02:03.838,Transition
12.637,2.35,2026-01-12 02:02:03.937,Transition
12.735,2.35,2026-01-12 02:02:04.035,Transition
12.837,2.35,2026-01-12 02:02:04.137,Transition
12.936,2.35,2026-01-12 02:02:04.236,Transition
13.037,2.35,2026-01-12 02:02:04.337,Transition
13.139,2.35,2026-01-12 02:02:04.439,Transition
13.238,2.35,2026-01-12 02:02:04.538,Transition
13.338,2.35,2026-01-12 02:02:04.638,Transition
13.439,2.35,2026-01-12 02:02:04.739,Transition
13.536,2.35,2026-01-12 02:02:04.836,Transition
13.636,2.35,2026-01-12 02:02:04.936,Transition
13.736,2.35,2026-01-12 02:02:05.036,Transition
13.834,2.35,2026-01-12 02:02:05.134,Transition
13.937,2.35,2026-01-12 02:02:05.237,Transition
14.036,2.35,2026-01-12 02:02:05.336,Transition
14.137,2.35,2026-01-12 02:02:05.437,Transition
14.239,2.35,2026-01-12 02:02:05.539,Transition
14.34,2.35,2026-01-12 02:02:05.640,Transition
14.438,2.35,2026-01-12 02:02:05.738,Transition
14.538,2.35,2026-01-12 02:02:05.838,Transition
14.639,2.35,2026-01-12 02:02:05.939,Transition
14.736,2.35,2026-01-12 02:02:06.036,Transition
14.832,2.35,2026-01-12 02:02:06.132,Transition
14.936,2.35,2026-01-12 02:02:06.236,Transition
15.037,2.09,2026-01-12 02:02:06.337,Transition
15.137,2.09,2026-01-12 02:02:06.437,Transition
15.23,2.09,2026-01-12 02:02:06.530,Transition
15.337,2.09,2026-01-12 02:02:06.637,Transition
15.439,2.09,2026-01-12 02:02:06.739,Transition
15.539,2.09,2026-01-12 02:02:06.839,Transition
15.637,2.09,2026-01-12 02:02:06.937,Transition
15.738,2.35,2026-01-12 02:02:07.038,Transition
15.839,2.35,2026-01-12 02:02:07.139,Transition
15.938,2.35,2026-01-12 02:02:07.238,Transition
16.036,2.35,2026-01-12 02:02:07.336,Transition
16.135,2.35,2026-01-12 02:02:07.435,Transition
16.235,2.35,2026-01-12 02:02:07.535,Transition
16.337,2.09,2026-01-12 02:02:07.637,Transition
16.436,2.35,2026-01-12 02:02:07.736,Transition
16.536,2.35,2026-01-12 02:02:07.836,Transition
16.636,2.35,2026-01-12 02:02:07.936,Transition
16.738,2.35,2026-01-12 02:02:08.038,Transition
16.837,2.35,2026-01-12 02:02:08.137,Transition
16.936,2.48,2026-01-12 02:02:08.236,Transition
17.036,2.35,2026-01-12 02:02:08.336,Transition
17.135,5.61,2026-01-12 02:02:08.435,Transition
17.235,18.46,2026-01-12 02:02:08.535,Transition
17.338,6.61,2026-01-12 02:02:08.638,Transition
17.436,4.76,2026-01-12 02:02:08.736,Transition
17.537,4.28,2026-01-12 02:02:08.837,Transition
17.638,3.08,2026-01-12 02:02:08.938,Transition
17.735,3.3,2026-01-12 02:02:09.035,Transition
17.836,3.83,2026-01-12 02:02:09.136,Transition
17.937,4.61,2026-01-12 02:02:09.237,Transition
18.038,3.3,2026-01-12 02:02:09.338,Transition
18.137,4.4,2026-01-12 02:02:09.437,Transition
18.238,3.83,2026-01-12 02:02:09.538,Transition
18.335,4.01,2026-01-12 02:02:09.635,Transition
18.436,4.01,2026-01-12 02:02:09.736,Transition
18.535,3.3,2026-01-12 02:02:09.835,Transition
18.636,3.14,2026-01-12 02:02:09.936,Transition
18.737,3.14,2026-01-12 02:02:10.037,Transition
18.835,2.92,2026-01-12 02:02:10.135,Transition
18.935,2.62,2026-01-12 02:02:10.235,Transition
19.037,2.35,2026-01-12 02:02:10.337,Transition
19.135,2.35,2026-01-12 02:02:10.435,Transition
19.236,2.35,2026-01-12 02:02:10.536,Transition
19.335,2.35,2026-01-12 02:02:10.635,Transition
19.437,2.35,2026-01-12 02:02:10.737,Transition
19.531,2.35,2026-01-12 02:02:10.831,Transition
19.632,2.35,2026-01-12 02:02:10.932,Transition
19.737,2.48,2026-01-12 02:02:11.037,Transition
19.835,2.48,2026-01-12 02:02:11.135,Transition
19.934,2.35,2026-01-12 02:02:11.234,Transition
20.034,2.35,2026-01-12 02:02:11.334,Transition
20.134,2.35,2026-01-12 02:02:11.434,Transition
20.237,2.35,2026-01-12 02:02:11.537,Transition
20.337,2.35,2026-01-12 02:02:11.637,Transition
20.436,2.35,2026-01-12 02:02:11.736,Transition
20.538,2.35,2026-01-12 02:02:11.838,Transition
20.636,2.48,2026-01-12 02:02:11.936,Transition
20.736,2.48,2026-01-12 02:02:12.036,Transition
20.835,2.48,2026-01-12 02:02:12.135,Transition
20.936,2.54,2026-01-12 02:02:12.236,Transition
21.034,2.54,2026-01-12 02:02:12.334,Transition
21.134,10.5,2026-01-12 02:02:12.434,Transition
21.237,18.46,2026-01-12 02:02:12.537,Transition
21.337,13.22,2026-01-12 02:02:12.637,Transition
21.43,10.36,2026-01-12 02:02:12.730,Transition
21.536,3.71,2026-01-12 02:02:12.836,Transition
21.634,3.14,2026-01-12 02:02:12.934,Transition
21.735,3.64,2026-01-12 02:02:13.035,Transition
21.836,4.48,2026-01-12 02:02:13.136,Transition
21.933,3.64,2026-01-12 02:02:13.233,Transition
22.036,4.48,2026-01-12 02:02:13.336,Transition
22.132,3.64,2026-01-12 02:02:13.432,Transition
22.236,3.14,2026-01-12 02:02:13.536,Transition
22.337,3.14,2026-01-12 02:02:13.637,Transition
22.436,3.14,2026-01-12 02:02:13.736,Transition
22.535,3.3,2026-01-12 02:02:13.835,Transition
22.635,3.14,2026-01-12 02:02:13.935,Transition
22.732,3.14,2026-01-12 02:02:14.032,Transition
22.835,3.14,2026-01-12 02:02:14.135,Transition
22.932,3.3,2026-01-12 02:02:14.232,Transition
23.035,3.64,2026-01-12 02:02:14.335,Transition
23.136,3.64,2026-01-12 02:02:14.436,Transition
23.236,3.64,2026-01-12 02:02:14.536,Transition
23.333,3.64,2026-01-12 02:02:14.633,Transition
23.435,3.9,2026-01-12 02:02:14.735,Transition
23.536,2.54,2026-01-12 02:02:14.836,Transition
23.635,2.48,2026-01-12 02:02:14.935,Transition
23.735,2.54,2026-01-12 02:02:15.035,Transition
23.836,2.48,2026-01-12 02:02:15.136,Transition
23.935,2.35,2026-01-12 02:02:15.235,Transition
24.035,2.48,2026-01-12 02:02:15.335,Transition
24.134,2.54,2026-01-12 02:02:15.434,Transition
24.235,2.54,2026-01-12 02:02:15.535,Transition
24.335,2.54,2026-01-12 02:02:15.635,Transition
24.436,2.54,2026-01-12 02:02:15.736,Transition
24.535,2.54,2026-01-12 02:02:15.835,Transition
24.637,2.48,2026-01-12 02:02:15.937,Transition
24.732,2.54,2026-01-12 02:02:16.032,Transition
24.834,2.54,2026-01-12 02:02:16.134,Transition
24.932,2.54,2026-01-12 02:02:16.232,Transition
25.033,2.35,2026-01-12 02:02:16.333,Transition
25.133,2.35,2026-01-12 02:02:16.433,Transition
25.234,2.35,2026-01-12 02:02:16.534,Transition
25.334,2.35,2026-01-12 02:02:16.634,Transition
25.436,2.35,2026-01-12 02:02:16.736,Transition
25.536,2.35,2026-01-12 02:02:16.836,Transition
25.634,2.35,2026-01-12 02:02:16.934,Transition
25.733,2.35,2026-01-12 02:02:17.033,Transition
25.834,24.06,2026-01-12 02:02:17.134,Transition
25.935,9.67,2026-01-12 02:02:17.235,Transition
26.035,2.48,2026-01-12 02:02:17.335,Transition
26.135,5.35,2026-01-12 02:02:17.435,Transition
26.234,3.83,2026-01-12 02:02:17.534,Transition
26.334,4.4,2026-01-12 02:02:17.634,Transition
26.433,4.01,2026-01-12 02:02:17.733,Transition
26.534,4.48,2026-01-12 02:02:17.834,Transition
26.633,4.48,2026-01-12 02:02:17.933,Transition
26.735,4.69,2026-01-12 02:02:18.035,Transition
26.836,4.69,2026-01-12 02:02:18.136,Transition
26.935,4.48,2026-01-12 02:02:18.235,Transition
27.035,4.48,2026-01-12 02:02:18.335,Transition
27.136,4.4,2026-01-12 02:02:18.436,Transition
27.234,4.4,2026-01-12 02:02:18.534,Transition
27.336,4.4,2026-01-12 02:02:18.636,Transition
27.434,4.4,2026-01-12 02:02:18.734,Transition
27.533,4.61,2026-01-12 02:02:18.833,Transition
27.631,3.94,2026-01-12 02:02:18.931,Transition
27.734,3.76,2026-01-12 02:02:19.034,Transition
27.836,3.76,2026-01-12 02:02:19.136,Transition
27.934,3.76,2026-01-12 02:02:19.234,Transition
28.033,3.94,2026-01-12 02:02:19.333,Transition
28.132,3.76,2026-01-12 02:02:19.432,Transition
28.235,2.09,2026-01-12 02:02:19.535,Transition
28.334,2.09,2026-01-12 02:02:19.634,Transition
28.435,2.35,2026-01-12 02:02:19.735,Transition
28.533,2.35,2026-01-12 02:02:19.833,Transition
28.635,2.09,2026-01-12 02:02:19.935,Transition
28.736,2.09,2026-01-12 02:02:20.036,Transition
28.834,2.35,2026-01-12 02:02:20.134,Transition
28.932,2.35,2026-01-12 02:02:20.232,Transition
29.036,2.35,2026-01-12 02:02:20.336,Transition
29.133,2.35,2026-01-12 02:02:20.433,Transition
29.233,2.35,2026-01-12 02:02:20.533,Transition
29.335,2.35,2026-01-12 02:02:20.635,Transition
29.434,2.35,2026-01-12 02:02:20.734,Transition
29.531,2.35,2026-01-12 02:02:20.831,Transition
29.633,2.35,2026-01-12 02:02:20.933,Transition
29.733,2.35,2026-01-12 02:02:21.033,Transition
29.834,2.35,2026-01-12 02:02:21.134,Transition
29.935,2.35,2026-01-12 02:02:21.235,Transition
30.035,2.35,2026-01-12 02:02:21.335,Transition
30.133,2.35,2026-01-12 02:02:21.433,Transition
30.234,2.35,2026-01-12 02:02:21.534,Transition
30.332,2.35,2026-01-12 02:02:21.632,Transition
30.432,2.48,2026-01-12 02:02:21.732,Transition
30.532,2.48,2026-01-12 02:02:21.832,Transition
30.634,2.48,2026-01-12 02:02:21.934,Transition
30.733,2.48,2026-01-12 02:02:22.033,Transition
30.833,2.54,2026-01-12 02:02:22.133,Transition
30.934,2.54,2026-01-12 02:02:22.234,Transition
31.034,2.54,2026-01-12 02:02:22.334,Transition
31.133,2.54,2026-01-12 02:02:22.433,Transition
31.231,2.54,2026-01-12 02:02:22.531,Transition
31.332,2.54,2026-01-12 02:02:22.632,Transition
31.435,2.54,2026-01-12 02:02:22.735,Transition
31.533,2.54,2026-01-12 02:02:22.833,Transition
31.633,2.54,2026-01-12 02:02:22.933,Transition
31.734,2.54,2026-01-12 02:02:23.034,Transition
31.835,2.54,2026-01-12 02:02:23.135,Transition
31.932,2.54,2026-01-12 02:02:23.232,Transition
32.031,2.54,2026-01-12 02:02:23.331,Transition
32.133,2.54,2026-01-12 02:02:23.433,Transition
32.233,2.54,2026-01-12 02:02:23.533,Transition
32.333,2.54,2026-01-12 02:02:23.633,Transition
32.434,2.54,2026-01-12 02:02:23.734,Transition
32.534,2.54,2026-01-12 02:02:23.834,Transition
32.631,2.54,2026-01-12 02:02:23.931,Transition
32.735,2.54,2026-01-12 02:02:24.035,Transition
32.835,2.54,2026-01-12 02:02:24.135,Transition
32.932,2.54,2026-01-12 02:02:24.232,Transition
33.032,2.54,2026-01-12 02:02:24.332,Transition
33.133,2.54,2026-01-12 02:02:24.433,Transition
33.232,2.54,2026-01-12 02:02:24.532,Transition
33.33,2.98,2026-01-12 02:02:24.630,Transition
33.432,2.98,2026-01-12 02:02:24.732,Transition
33.533,2.98,2026-01-12 02:02:24.833,Transition
33.634,2.98,2026-01-12 02:02:24.934,Transition
33.733,3.04,2026-01-12 02:02:25.033,Transition
33.833,3.04,2026-01-12 02:02:25.133,Transition
33.935,3.04,2026-01-12 02:02:25.235,Transition
34.034,3.04,2026-01-12 02:02:25.334,Transition
34.133,3.04,2026-01-12 02:02:25.433,Transition
34.232,3.04,2026-01-12 02:02:25.532,Transition
34.334,3.53,2026-01-12 02:02:25.634,Transition
34.432,3.53,2026-01-12 02:02:25.732,Transition
34.533,3.6,2026-01-12 02:02:25.833,Transition
34.632,3.6,2026-01-12 02:02:25.932,Transition
34.731,3.6,2026-01-12 02:02:26.031,Transition
